Individual,PC1,PC2,PC3,PC4,Population,Population2
EnglishCockerSpaniel:ECockerSpaniel03,-0.0249,-0.0011,0.0133,-0.0005,Breed,EnglishCockerSpaniel
EnglishCockerSpaniel:ECockerSpaniel05,-0.0249,-0.0006,0.014,-0.001,Breed,EnglishCockerSpaniel
EnglishCockerSpaniel:CP003,-0.0251,-0.0013,0.0145,-0.0007,Breed,EnglishCockerSpaniel
EnglishMastiff:EnglishMastiff02,-0.0239,-0.0013,0.0123,-0.0007,Breed,EnglishMastiff
EnglishMastiff:EnglishMastiff01,-0.024,-0.0013,0.0131,-0.0009,Breed,EnglishMastiff
EnglishPointer:EnglishPointer01,-0.0236,-0.0011,0.0118,-0.0008,Breed,EnglishPointer
EnglishPointer:EnglishPointer02,-0.0238,-0.0009,0.0131,-0.0007,Breed,EnglishPointer
EnglishSetter:EnglishSetter01,-0.0242,-0.0011,0.0129,-0.0008,Breed,EnglishSetter
EnglishSetter:CFA.105990,-0.0244,-0.0017,0.015,-0.0006,Breed,EnglishSetter
EnglishSetter:CFA.117996,-0.0247,-0.0021,0.016,-0.0006,Breed,EnglishSetter
EnglishSpringerSpaniel:SpringerSpan03,-0.0235,0,0.0123,-0.001,Breed,EnglishSpringerSpaniel
EnglishSpringerSpaniel:SpringerSpan01,-0.0242,-0.0012,0.0136,-0.0008,Breed,EnglishSpringerSpaniel
EntlebucherSennenhund:Entlebucher02,-0.0234,-0.0007,0.0114,-0.0009,Breed,EntlebucherSennenhund
EntlebucherSennenhund:Entlebucher08,-0.0234,-0.0008,0.0114,-0.001,Breed,EntlebucherSennenhund
EntlebucherSennenhund:Entlebucher06,-0.0238,-0.0008,0.0115,-0.0008,Breed,EntlebucherSennenhund
EntlebucherSennenhund:Entlebucher01,-0.024,-0.0007,0.012,-0.0009,Breed,EntlebucherSennenhund
FieldSpaniel:CFA.107833,-0.0245,-0.0022,0.015,-0.0004,Breed,FieldSpaniel
FinnishLapphund:FinnishLapphund01,-0.0153,-0.001,-0.0039,-0.0015,Breed,FinnishLapphund
FlatCoatedRetriever:FlatcoatedRet02,-0.0247,-0.0008,0.0126,-0.0008,Breed,FlatCoatedRetriever
FlatCoatedRetriever:FlatcoatedRet03,-0.0248,-0.0009,0.0134,-0.0007,Breed,FlatCoatedRetriever
FlatCoatedRetriever:FlatcoatedRet01,-0.0251,-0.0008,0.0132,-0.0008,Breed,FlatCoatedRetriever
FonnisDog:FonniDog01,-0.0212,-0.0014,0.0094,-0.0009,Breed,FonnisDog
FrenchBulldog:FrenchBulldog01,-0.0257,-0.001,0.0136,-0.0006,Breed,FrenchBulldog
FrenchBulldog:FB065,-0.0258,-0.001,0.0148,-0.0006,Breed,FrenchBulldog
GermanHuntingTerrier:JT007,-0.0246,-0.0018,0.0153,-0.0007,Breed,GermanHuntingTerrier
GermanShepherdDog:GermanShepherd10,-0.0232,0.0009,0.0122,-0.0019,Breed,GermanShepherdDog
GermanShepherdDog:DS053,-0.024,-0.0022,0.0135,-0.0008,Breed,GermanShepherdDog
GermanShepherdDog:DS051,-0.0241,-0.0019,0.0128,-0.0007,Breed,GermanShepherdDog
GermanShepherdDog:GermanShepherd12,-0.0241,-0.0011,0.0116,-0.001,Breed,GermanShepherdDog
GermanWirehairedPointer:GermanWire01,-0.0239,-0.0013,0.0118,-0.0007,Breed,GermanWirehairedPointer
GoldenRetriever:GoldenRetriever02,-0.0242,-0.0015,0.0111,-0.0008,Breed,GoldenRetriever
GoldenRetriever:GoldenRetriever03,-0.0245,-0.0011,0.0119,-0.0008,Breed,GoldenRetriever
GoldenRetriever:GoldenRetriever05,-0.0253,-0.001,0.0129,-0.0008,Breed,GoldenRetriever
GoldenRetriever:GoldenRetriever11,-0.0255,-0.0009,0.0125,-0.0007,Breed,GoldenRetriever
GordonSetter:CFA.109672,-0.0239,-0.002,0.0146,-0.0006,Breed,GordonSetter
GordonSetter:GordonSetter01,-0.0243,-0.0008,0.0129,-0.0008,Breed,GordonSetter
GreatDane:CFA.117997,-0.0236,-0.002,0.0141,-0.0006,Breed,GreatDane
GreatDane:CFA.107837,-0.024,-0.0022,0.015,-0.0005,Breed,GreatDane
GreatDane:DD116,-0.0243,-0.0017,0.0145,-0.0005,Breed,GreatDane
GreatDane:GreatDane01,-0.0246,-0.0005,0.0131,-0.001,Breed,GreatDane
GreatPyrenees:GreatPyrenees01,-0.0207,0.0029,0.01,-0.0025,Breed,GreatPyrenees
GreenlandDog:GreenlandDog01,0.0064,0.0041,-0.0776,-0.0048,Breed,GreenlandDog
Greyhound:Greyhound08,-0.0245,-0.0008,0.0138,-0.0008,Breed,Greyhound
Greyhound:Greyhound02,-0.0246,-0.001,0.0149,-0.0007,Breed,Greyhound
Greyhound:Greyhound03,-0.0248,-0.0008,0.0142,-0.0007,Breed,Greyhound
Greyhound:Greyhound06,-0.0249,-0.001,0.0143,-0.0007,Breed,Greyhound
Grossspitz:GS104,-0.0181,-0.0017,0.0025,-0.0014,Breed,Grossspitz
Heideterrier:Heideterrier01,-0.0252,-0.0011,0.014,-0.0006,Breed,Heideterrier
Hovawart:HW1706,-0.0233,-0.0011,0.0127,-0.0008,Breed,Hovawart
IndiaVillage:VillDog_India04,0.0084,-0.0033,-0.0324,-0.0021,Village,IndiaVillage
IndiaVillage:VillDog_India05,0.0068,-0.0025,-0.0313,-0.002,Village,IndiaVillage
IndiaVillage:VillDog_India01,-0.0023,-0.0027,-0.0154,-0.0015,Village,IndiaVillage
IndiaVillage:VillDog_India03,-0.0049,-0.002,-0.014,-0.0016,Village,IndiaVillage
IrishSetter:IrishSetter01,-0.0238,-0.0015,0.0128,-0.0007,Breed,IrishSetter
IrishTerrier:IrishTerrier01,-0.0241,-0.0007,0.0126,-0.0007,Breed,IrishTerrier
IrishTerrier:CFA.117998,-0.0242,-0.0019,0.0154,-0.0006,Breed,IrishTerrier
IrishWaterSpaniel:IhWaterSpan02,-0.0244,-0.0014,0.014,-0.0007,Breed,IrishWaterSpaniel
IrishWaterSpaniel:IWaterSpan01,-0.0244,-0.0015,0.0138,-0.0005,Breed,IrishWaterSpaniel
IrishWaterSpaniel:IWaterSpan03,-0.0249,-0.0014,0.0139,-0.0006,Breed,IrishWaterSpaniel
IrishWolfhound:IrishWolfhound01,-0.0237,-0.0012,0.0127,-0.0007,Breed,IrishWolfhound
IstrianShorthairedHound:ISHHound01,-0.0222,-0.001,0.0087,-0.0005,Breed,IstrianShorthairedHound
