Individual,PC1,PC2,PC3,PC4,Population,Population2
Kuri:MS11673,0.2085,0.0383,-0.0105,0.0332,Kuri,Kuri
Kuri:MS11674,0.2079,0.0351,-0.0079,0.0356,Kuri,Kuri
Kuri:MS11675,0.21,0.0383,-0.0083,0.0352,Kuri,Kuri
Kuri:MS11676,0.2108,0.0384,-0.0099,0.0349,Kuri,Kuri
Kuri:MS11677,0.2081,0.0357,-0.0081,0.036,Kuri,Kuri
Kuri:MS11678,0.2119,0.0384,-0.01,0.0354,Kuri,Kuri
Kuri:MS11679,0.2109,0.038,-0.01,0.0343,Kuri,Kuri
Kuri:MS11683,0.2111,0.0386,-0.01,0.0343,Kuri,Kuri
Kuri:MS11684,0.2115,0.0385,-0.0102,0.0346,Kuri,Kuri
Kuri:MS11686,0.2108,0.0391,-0.0103,0.0337,Kuri,Kuri
Kuri:MS11770,0.211,0.038,-0.0095,0.0349,Kuri,Kuri
Kuri:MS11771,0.2111,0.0385,-0.0103,0.0352,Kuri,Kuri
Kuri:MS11774,0.2129,0.0388,-0.0099,0.035,Kuri,Kuri
Kuri:MS11775,0.2139,0.0391,-0.0105,0.0345,Kuri,Kuri
LabradorRetriever:LabradorRet01,-0.0196,0.0192,0.0036,-0.003,Breed,LabradorRetriever
LabradorRetriever:LabradorRet04,-0.0177,0.0179,0.0034,-0.0021,Breed,LabradorRetriever
LabradorRetriever:LabradorRet06,-0.0196,0.0197,0.0033,-0.0033,Breed,LabradorRetriever
LabradorRetriever:LabradorRet07,-0.0205,0.0208,0.0029,-0.0022,Breed,LabradorRetriever
LagottoRomagnolo:LagottoRoma02,-0.0179,0.0134,-0.0007,-0.0002,Breed,LagottoRomagnolo
LagottoRomagnolo:LagottoRoma03,-0.0177,0.0134,0.0002,0.001,Breed,LagottoRomagnolo
LagottoRomagnolo:LagottoRoma04,-0.0177,0.0131,0.0004,-0.0001,Breed,LagottoRomagnolo
LagottoRomagnolo:LR1030,-0.018,0.0155,-0.0015,-0.0007,Breed,LagottoRomagnolo
Landseer:Landseer01,-0.0179,0.0157,0.0029,-0.0019,Breed,Landseer
LapponianHerder:LappnHerder01,-0.0079,-0.0041,0.0068,0.001,Breed,LapponianHerder
LebanonVillage:VillDog_Lebanon01,-0.0162,0.0093,-0.0009,0.0004,Village,LebanonVillage
LebanonVillage:VillDog_Lebanon02,-0.0113,-0.004,-0.0077,0.0037,Village,LebanonVillage
LebanonVillage:VillDog_Lebanon03,-0.0115,-0.0031,-0.0064,0.0013,Village,LebanonVillage
Leonberger:Leonberger01,-0.018,0.0145,0.0011,-0.0007,Breed,Leonberger
Lowchen:Lowchen01,-0.0149,0.0134,0.0016,0.002,Breed,Lowchen
MiniatureBullTerrier:BT007,-0.0242,0.0321,0.0032,-0.0029,Breed,MiniatureBullTerrier
MiniaturePoodle:BAN00024,-0.0159,0.0107,0.0017,0.0022,Breed,MiniaturePoodle
MiniaturePoodle:MinPoodle01,-0.0176,0.0147,0.0015,0.0005,Breed,MiniaturePoodle
MiniatureSchnauzer:MinSchnauzer01,-0.0176,0.0129,0.0024,0.0037,Breed,MiniatureSchnauzer
MiniatureSchnauzer:MS04563,-0.0175,0.0133,0.0024,0.0023,Breed,MiniatureSchnauzer
MiniatureSchnauzer:MS04593,-0.0169,0.0124,0.0037,0.0039,Breed,MiniatureSchnauzer
NamibiaVillage:VillDog_Namibia01,-0.0065,-0.0421,-0.0671,-0.004,Village,NamibiaVillage
NamibiaVillage:VillDog_Namibia02,-0.003,-0.0663,-0.0997,-0.0072,Village,NamibiaVillage
NamibiaVillage:VillDog_Namibia03,-0.0031,-0.0703,-0.1072,-0.0071,Village,NamibiaVillage
